UPN,Number
teams_aa_resource_01@onbmd.onmicrosoft.com,61730339561
teams_aa_resource_02@onbmd.onmicrosoft.com,61730339562
teams_aa_resource_04@onbmd.onmicrosoft.com,61730339564
teams_aa_resource_05@onbmd.onmicrosoft.com,61730339565
teams_aa_resource_10@onbmd.onmicrosoft.com,61730339570
teams_cq_resource_01@onbmd.onmicrosoft.com,61730339571
teams_cq_resource_02@onbmd.onmicrosoft.com,61730339572
teams_cq_resource_03@onbmd.onmicrosoft.com,61730339573
teams_cq_resource_04@onbmd.onmicrosoft.com,61730339574
teams_cq_resource_05@onbmd.onmicrosoft.com,61730339575
